mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 2, 1, 0.232224, 0.151433, 0.0104, 1076
0.0001, 2, 1, 0.11379, 0.117979, 0.0085, 1070
0.0001, 2, 1, 0.0557569, 0.135127, 0.0116, 1073
0.0001, 3, 65, 69.8776, 0.0992768, 0.983, 67980
0.0001, 3, 65, 34.24, 0.0632008, 0.6641, 67642
0.0001, 3, 65, 16.7776, 0.0803558, 0.5259, 66588
0.0001, 3, 65, 8.22103, 0.0865459, 0.4694, 67376
0.0001, 3, 65, 4.0283, 0.07925, 0.4044, 66800
0.0001, 3, 65, 1.97387, 0.0939874, 0.3318, 66676
0.0001, 3, 65, 0.967195, 0.0878705, 0.2932, 66991
0.0001, 3, 65, 0.473926, 0.0937757, 0.2353, 67020
0.0001, 3, 65, 0.232224, 0.063749, 0.2489, 66735
0.0001, 3, 65, 0.11379, 0.114954, 0.2256, 66884
0.0001, 3, 65, 0.0557569, 0.0904597, 0.2141, 67046
0.0001, 3, 45, 69.8776, 0.0940325, 0.6636, 47145
0.0001, 3, 45, 34.24, 0.0714255, 0.4821, 47356
0.0001, 3, 45, 16.7776, 0.109517, 0.3844, 46302
0.0001, 3, 45, 8.22103, 0.116013, 0.3406, 46021
0.0001, 3, 45, 4.0283, 0.0985123, 0.3183, 46882
0.0001, 3, 45, 1.97387, 0.100873, 0.2372, 46762
0.0001, 3, 45, 0.967195, 0.0924722, 0.1969, 46763
0.0001, 3, 45, 0.473926, 0.13308, 0.187, 46776
0.0001, 3, 45, 0.232224, 0.0925448, 0.1395, 46826
0.0001, 3, 45, 0.11379, 0.085418, 0.1594, 46872
0.0001, 3, 45, 0.0557569, 0.0849433, 0.1466, 46762
0.0001, 3, 31, 69.8776, 0.123277, 0.4598, 32596
0.0001, 3, 31, 34.24, 0.118212, 0.3385, 32802
0.0001, 3, 31, 16.7776, 0.115043, 0.2642, 32106
0.0001, 3, 31, 8.22103, 0.0913736, 0.2365, 38562
0.0001, 3, 31, 4.0283, 0.111129, 0.2061, 37467
